Tweet,Sarcasm(yes/no/no) Ravi,Sarcasm(Yes/No/no) Niranjana,Sarcasm(Yes/No/no) Priya
Don't we already have something similar called @lyft? #sarcasm #google #rideshare https://t.co/E5e9GKtENV via @TravelLeisure,yes,yes,yes
i ended up crying again while eating... i've never felt better before. #sarcasm,no,yes,yes
@caityweaver #sarcasm? Comparing Kim to anything valuable...,yes,no,yes
"What beautiful, lovely day #CBR. Thanks again. #sarcasm",no,no,no
And finally tomorrow we start the school yeii :) #Sarcasm https://t.co/T6MhCkYEfL,no,yes,yes
@RobBar88 I guess the acceleration in UK GDP/Capita almost to the day of joining EEC and trebling of actual value r‰Û_ https://t.co/Wnr5rGTcIA,no,no,no
hey look a touchdown! WE COMING BACK TONIGHT BOYS #sarcasm,yes,no,yes
Honestly getting used feels great #sarcasm,yes,no,yes
When they never stop_Ù÷Ï#BabySittingAWeirdKid #kids #KidsBeLike #relatable #sarcasm #family #love #daughter #s... https://t.co/n8lHFqjWmB,no,no,no
#Chiefs Score! #Sarcasm,no,no,no
Vagina rules coffee mug https://t.co/Ct2gm9CSW4 #funnygift #WitticismsRus #sarcasm #Gifts_under_20 https://t.co/YeLG2Hbpu0,no,no,no
"@DavidMTodd @dlolleyor @jimwexell @adamcrowleySNR 
 UGH! There goes Coates' average YPC 
 #Sarcasm",no,no,no
Today's mood: Bitchy with a chance of #sarcasm. #wiz,no,yes,yes
"Today's total calorie intake: 1010. 
 Required calories to live: 1600. 
 My wellness apt on Thursday will go SO well! #sarcasm",yes,yes,yes
"Dear @ABCNetwork, I love watching a show &amp; only hearing the music...no dialogue. #sarcasm",yes,yes,yes
"I thnk u would hv said the smethng nd protcted the paki artists if ur homes were attactd, if ur loved 1c wr harmed!!#sarcasm #democracy",yes,yes,no
"What amazing commentary from Pope and Josh 
 ""Now he has to pick him up and get him in the ring""
 ""Yup""
 #BoundForGlory #sarcasm #Why?",yes,no,yes
"Man, so glad for the hope &amp; change #sarcasm [pic] #tcot #tgdn #PJNET #LNYHBT #ccot #RedNationRising #SGP https://t.co/zVCJr5pFm4",no,no,no
It's so nice that the assholes who were servicing my student loans decided to sell them to even bigger assholes last month #sarcasm,yes,yes,yes
@Taurus_5 @Subculturegurl booooooo! It's not for good Christian families. #MakeAmericaGreatAgain #Sarcasm,no,no,no
What a game on Sunday night! And the @Chiefs punt again. @NFL @nbc #Sarcasm,yes,yes,no
And that wasn't at all creepy. #sarcasm @QuanticoTV #Quantico,yes,yes,no
"@UberFacts So sad! There are poor, desperate women to exploit here, and we should be helping them first. #sarcasm #Merica",yes,yes,yes
I've found that many people don't understand sarcasm; my chances with them are zilch. #reasonswhyimsingle #dating‰Û_ https://t.co/3vm58aBKlI,no,yes,yes
I like how the only guy who had any sanity was cheated out of the nomination. #sarcasm,yes,yes,yes
@JimTothSports No. 1 son left the parade route making machine on all night! #nikhill #sarcasm,no,no,no
"Kansas City should check the psi of these balls. They can't be losing 35-0 without the Steelers cheating. 
 #sarcasm #SNF",yes,yes,no
@CadyCat3 @RadioFreeTom @KitCarrington exactly - Yahoo is obviously tons more secure!! #sarcasm,no,yes,yes
Dear @PMOIndia I wish #KashmirIssue resolves soon. I can't bear the news of our army men dying jst cz of our peace luvin neighbours #Sarcasm,yes,yes,no
But its ok you won a playoff game last year lol #sarcasm,yes,yes,no
Did you guys know that all scoring plays are reviewed in the NFL? I think these TV announcers need to point that out more often. #sarcasm,yes,yes,no
Sure hope the Chiefs changed their cleats at Halftime! Bad play was definitely a result of improper footwear. #sarcasm #KCvsPIT,yes,yes,yes
"Quick dives from post to post to prevent a goal.
 Yep, definitely past his prime.
 #Sarcasm 
 #YouDontKnowLAKings",yes,yes,yes
I also strive to go grocery shopping with my significant other while simultaneously holding up our keys. #love‰Û_ https://t.co/gcZnB5bzcV,yes,yes,yes
"Hey @HillaryClinton apparently wikileaks are basement dwellers.
 Living in your basement for yrs, and visiting your bathroom daily!!
 #Sarcasm",yes,yes,yes
@FulphilO This loss is all his fault #sarcasm,yes,yes,no
Nothing like solid programming to hypertrophy and improve the exercise capacity of your glenoid labrum and interver‰Û_ https://t.co/qOl812m3j9,no,yes,yes
@kingk8888 Because everything BLM activists say is true. #sarcasm,no,yes,yes
@NBCTimeless looks real unique. #sarcasm @nbc @EasterbrookG @krst28,yes,yes,no
Happy Hooker pendant necklace https://t.co/6NHx9gC8fo #sarcasm #funnygift #Yarn https://t.co/JZylsrsSXB,no,no,no
So this new @bumble_app is great #sarcasm #onlinedating #dating #thisiswhyIamsingle #bumble #onlinedatingfail‰Û_ https://t.co/j1alS6I6W9,no,no,no
"Sergio Busquets took blame for the loss and Mathieu didn't even? Wow_Ù÷É_Ù÷� I like that. 
 #Sarcasm",no,no,no
"Nice move US gov, giving away the Internet to the UN. #sarcasm #icann",yes,yes,yes
"@Paleophile @Rob0Sullivan @Leolupus79 Also, #Cocktober is almost certainly election month. #Sarcasm #ButNot",yes,yes,no
So glad the @SoundersFC with a man advantage decided to be immature and earn a redcard in the waning minutes of a must win game. #sarcasm,yes,no,yes
"@MarkKaboly 
 Antonio Brown only has 64 yds too, SMH 
 #Sarcasm",no,no,no
"Russell Wilson was so system quarterback today, wasn't he? #sarcasm",no,no,no
"@MarkKaboly 
 Bench Ben for Landry Jones due to 3 incompletions 
 #Sarcasm",no,no,no
"@jimwexell 
 3 incompletions, ugh! Put Landry Jones in
 #Sarcasm",yes,no,yes
Dog is my favorite person in the world. Already was. Now is only. Pretty Much. #alone #sarcasm #totalsincerity #splitthatshit,yes,yes,yes
Big Ben may just end up being a pretty decent QB in this league some day. #sarcasm #SundayNightFootball #KCvsPIT,yes,No,yes
"@miklasz if the Cards don't retain Holliday, who will we blame everything on? #sarcasm",yes,yes,no
@Judson1360 @PadresCentral phew! I am releived that his excuse was a good one #sarcasm,yes,yes,no
YES. LET'S PUT THIS MAN IN CHARGE OF OUR COUNTRY. #Sarcasm #NoReallyImKiddkng #ImWithHer https://t.co/m4Hpo7b0CV,yes,yes,yes
Glad those #Chiefs practice throwing the long ball so much in the offseason. I think it's paying off. #sarcasm,no,no,no
@dcwhb Oh but Danny Alex Smith was worth Trading a 1st and 2nd Round pick for #Sarcasm,no,no,no
@bvaughnMO not understanding your logic of throwing beyond the LOS...#sarcasm,no,no,no
"@ThePatriot143 but but but it's trump, we should only cover trump's faults. Hillary is perfect. #sarcasm",yes,yes,yes
.@realDonaldTrump your miles of experience commanding battles makes me believe you are on to something here #sarcasm #joker,yes,no,yes
"@sherlockmichael 
 No, no, ... If you *truly* want to help out, just go along with the status quo &amp; kowtow
 #sarcasm
 https://t.co/zPlSkvnM9Y",no,no,no
We do great and there's a flag. Yay! #sarcasm #KCvsPIT,no,no,no
"@al_bundee grown-up #atheism is mostly causal result or #scepticism, #freeStyleThinking, #sarcasm, &amp; #inDependence @cathybbyxd #atheism #MND",yes,yes,yes
"@natejschneider But hey, seemed like SUCH a great investment instead of Antonio. #sarcasm",no,no,no
"Hey Folks, Tomorrow's Monday! Should be another super work day #sarcasm",yes,no,yes
@JuliaGTelles Maybe BLM should riot again and hurt more people. Ya - that should work. That should endear them to others. #sarcasm,yes,no,yes
@ChrisDude4757 no! Lol absolutely not! #sarcasm,no,yes,yes
@realDonaldTrump What a brilliant military strategist you are. #sarcasm,yes,yes,yes
"Alex Smith is as good as Big Ben!
 #sarcasm https://t.co/vQiEJ98mQq",no,no,no
"""Extra patrols around Ferguson schools out of an abundance of caution."" OF COURSE it's out of an abundance of cauti‰Û_ https://t.co/CLdqBlcloI",yes,yes,yes
Thanks @Chiefs for allowing me to watch Halloween Wars tonight. I wanted to watch pumpkin carving instead. #sarcasm #chiefs,yes,yes,yes
Our offense starring WR Marcus Peters is going on the field again #sarcasm,yes,yes,no
