text,Ravi,Niranjana,Priya,
Friday Faking Release: The Avengers: Age Of Surgical Strikes (*ing Indian Army) http://www. fakingnews.firstpost.com/pics/friday-fa king-release-avengers-age-of-surgical-strikes-ing-indian-army-17651 … #Re,,,No,
"""If even terrorists are not safe in Pakistan then what about common man",,,No,
FB activates Safety Check in Pakistan to let surviving terrorists mark themselves safe after surgical strikes http://www. fakingnews.firstpost.com/technology/fac ebook-pakistan-india-surgical-strikes-pok-loc-nawaz-sharif-17631 … #Re,,,Yes,
"Google Allo Assistant के आने से खुश हैं Friendzoned युवक, दिनभर उसी से बात कर के करते हैं टाइम पास http:// hindi.fakingnews.firstpost.com/india/google-a llo-helps-friendzoned-guys-2268 … - @hindifakingnews",,,,
Friday Faking Release: The Avengers: Age Of Surgical Strikes (*ing Indian Army) http://www. fakingnews.firstpost.com/pics/friday-fa king-release-avengers-age-of-surgical-strikes-ing-indian-army-17651 …,,,,
"सर्जिकल स्ट्राइक' शब्द से पूरे पाकिस्तान में ख़ौफ़, कोई अलग ही टाइप का हमला मान रहे हैं लोग http:// hindi.fakingnews.firstpost.com/world/panic-st rike-in-pakistan-due-to-surgical-strike-word-2415 … from @hindifakingnews",,,,
"चिपकू दोस्त से पिंड छुड़ाने के लिये युवक ने दिये पैसे उधार, दोस्त का फोन आना हुआ बंद http:// hindi.fakingnews.firstpost.com/india/get-rid- of-annoying-friend-ask-for-money-2405 … from @hindifakingnews",,,,
Hafiz Saeed to lead protest march against Pakistan Army for their poor security arrangements for fellow terrorists http://www. fakingnews.firstpost.com/world/hafiz-sa eed-lead-protest-march-pakistan-army-poor-security-arrangements-fellow-terrorists-17634 …,,,No,
Facebook activates Safety Check in Pakistan to let surviving terrorists mark themselves safe after surgical strikes http://www. fakingnews.firstpost.com/technology/fac ebook-pakistan-india-surgical-strikes-pok-loc-nawaz-sharif-17631 …,,,Yes,
FB wall: Nawaz Sharif's Facebook wall after the surgical strikes by India http://www. fakingnews.firstpost.com/pics/fb-wall-n awaz-sharifs-facebook-wall-surgical-strikes-india-17627 … #Re,,,No,
