Tweets,,Niranjana,
"Quick tip: The best way to get a followback from @Funnyoneliners is to interact with a tweet with a like, an RT or an @.",,no,no
If you're wondering in the rest of the world what the blizzard looked like...here goes. https:// twitter.com/claytravis/sta tus/691278188773838848 …,,no,no
Congratulations to our friend and frequent contributor James Breakwell on the birth of.....Waffle? https:// twitter.com/xplodingunicor n/status/663737305325170688 …,,no,yes
@Support Please don't remove my banner picture again. Every person on it was contacted for permission to use their avis.,,yes,no
"It's not easy being a parent these days. Texting in all caps just doesn't have the same impact as good, old fashioned yelling.",,yes,no
"If a man speaks and no one is listening, chances are his name is Dad.",,yes,yes
Sometimes the first step to forgiveness is understanding the other person is a bleeping idiot.,,not sure,yes
"Dealing with idiots is like soccer. You can use your head, but a swift kick is usually more effective.",,yes,no
"I may not be able to walk the walk or talk the talk, but if you need somebody to drink the drink, then I'm your man.",,yes,no
"Due to an intense mind fog, all of my thoughts have been grounded until further notice.",,yes,no
I wish I had time for the nervous breakdown that I deserve.,,yes,no
"Every time I open my mouth, some idiot starts talking.",,no,no
Wine doesn't have many vitamins. That's why you have to drink a lot of it.,,yes,no
It's hard to diet when your favorite exercise is chewing.,,yes,yes
"If I had 10 cookies and you took one, what would you have? That's correct... A black eye and a broken hand.",,no,yes
Ever notice how the lottery officials always pick the wrong numbers? Jerks.,,no,no
"At my age, rolling out of bed is easy. Getting up off the floor is the hard part.",,no,no
"Friends are like boobs. You've got big ones, small ones, real ones and fake ones.",,no,no
"When somebody says ""Jump!"" I say, ""Down whose throat?"";;;;""630728700972113921",,no,no
"Every time I lose some weight, I find it again in the refrigerator.",,yes,yes
A real friend is someone who knows how completely crazy you are and is still willing to be seen with out in public with you.,,yes,no
My road to success always seems to be under construction.,,yes,no
I'm sorry for what I said when it was Monday.,,no,
I'm not snoring. I'm dreaming I'm a motorcycle.,,no,
"By the time I realized my parents were right, I had kids that didn't believe me.",,no,
I want my children to be independent headstrong people. Just not while I'm raising them.,,yes,
The crazy farm called. They want you back.,,no,
Keep rolling your eyes. Maybe one day you'll find a brain back there.,,yes,
"I'll call it a smartphone the day I scream ""Where's my phone?"" and it yells ""Down here! In the couch cushions!"";;;;""625647890539655168",,no,
I don't need a reason to enjoy a little wine. I just need a glass.,,yes,
My dream job would be the Karma delivery service.,,no,
Celery is 95% water and 100% not pizza.,,no,
Taxes are how we make sure the wheels of government continue to run...right over us.,,yes,
I've lost my mind and I'm pretty sure my kids took it.,,yes,
I like my bed better than I like most people.,,yes,
I'm pretty sure the inventor of duct tape was a parent who'd had enough.,,yes,
Sometimes I make a mental note and then forget where I put it.,,yes,
Marriage is when a man loses his Bachelor's degree and a woman gets her Master's degree.,,no,
How is it that I always seem to buy the plants without the will to live?,,doubt,
"If a woman speaks and no one is listening, chances are good her name is Mom.",,no,
I can't afford a vacation so I'm just going to drink until I don't know where I am.,,yes,
Help! I've run out of weekend.,,yes,
"July 4th Tip: This year, throw veggie burgers on the grill and next year, someone else will host the cookout.",,yes,
Recipes are like online dates...they never look like the picture.,,yes,
"If you like someone, set them free. If they come back, it means nobody else liked them.",,no,
It's Monday. Wishing you strength through this difficult time.,,yes,
My bucket list: Beer Ice,,no,
It's hard to lose weight when you have an overactive knife and fork.,,yes,
I'm having one of those days that isn't Saturday.,,no,
Junk food would be easier to avoid if it actually tasted like junk.,,yes,
Has anyone ever actually gotten salmonella from eating raw cookie dough or are those people just trying to ruin my life?,,doubt,
Here's a big shoutout to slugs for doing everything a snail does without a helmet.,,yes,
The fridge is a clear example that what matters is on the inside.,,yes,
I'm that friend you have to explain to people before you introduce me... And apologize for after.,,yes,
"When the hostess at the restaurant says ""Table for two?",,yes,
I wonder how thin I'd be if I had to pedal to keep the computer powered up.,,yes,
I've started working as a translator at my job. Specializing in English to Idiot.,,yes,
Nothing cures insomnia quite like realizing it's time to get up.,,yes,
Admit it. We have all hidden our favorite food from our family at least once.,,yes,
I'm learning what my superpowers are not one injury at a time.,,yes,
Being married is like having a best friend who doesn't remember anything you say.,,yes,
I think I figured out Victoria's Secret. She's hungry.,,doubt,
"I'm so old, I can remember getting through an entire day without taking a picture of anything.",,yes,
"If we all had to wear a warning label, what would yours say? *reply for a follow back",,no,
Dance like no one is watching. Because they're not. They're all checking their phones.,,yes,
The fastest way to be happy is to make other people happy. You go first.,,yes,
"How to enjoy wine; 1. Open the bottle and let it breathe. 2. If it doesn't seem to be breathing, give it mouth-to-mouth.",,no,
Is it true that the older you get the crazier you become? Or is that just me?,,yes,
Don't worry about walking a mile in my shoes. Just try spending a day thinking in my head.,,yes,
"Do regular dogs see police dogs and think, ""Oh crap! It's the cops!""?",,doubt,
Don't you wish karma was like pizza and could be delivered in under 30 minutes?,,yes,
Stop asking why I'm still single. I don't ask how you're still married.,,yes,
I've taken up photography because it's the only hobby where I can shoot people and cut off their heads without going to jail.,,yes,
"I got a job as a store greeter. But apparently ""You again?"" wasn't the greeting they had in mind.",,yes,
Don't yell at me to 'get a grip' unless you mean around your neck.,,yes,
I can't decide if life is passing me by or trying to run me over.,,no,
I used to have functioning brain cells but I traded them in for children.,,no,
I need to find my aim in life before I run out of ammunition.,,yes,
It's never too late to be what you want to be. Unless you want to be younger. Then you're screwed.,,no,
We'll be friends until we're old and senile. Then we'll be new friends all over again.,,no,
I am having Monday feelings toward Tuesday.,,yes,
Can we start the weekend over again? I wasn't ready.,,yes,
"Drunk people, children and yoga pants always tell the truth.",,no,
"I don't always look things up on my phone, but when I do it's to prove people wrong.",,yes,
"People think I'm unhappily married because of my tweets, but I'm not. I'm unhappily married because of my wife.",,yes,
You know you're really stressed when you start getting on your own nerves.,,yes,
"Wake up, Twitter. Time to rise and whine.",,no,
Honesty is the best policy. Unless you want people to like you.,,no,
Have you ever just looked at someone and automatically felt annoyed?,,no,
"At my age, I don't take naps outdoors. People start breaking out the shovels.",,yes,
"If every day is a gift, I'd like a receipt for Monday. I want to exchange it for another Friday.",,yes,
"My new car is so high tech, I need my 10 year old to teach me how to drive it.",,yes,
Pretty sure I'm meant to be a weekend person. The lifestyle suits me.,,yes,
"Due to heavy fog, my brain has been grounded until further notice.",,yes,
"When I woke up today, the house was spotless, I had no wrinkles and my wife looked like Angelina Jolie. I may never wear my glasses again!",,yes,
"I've learned so much from my mistakes, I'm thinking of making a few more.",,yes,
Early mornings are perfect for spending time with my wife. Then she spoils it by waking up.,,yes,
Never put all your eggs in one basket. Unless it's chocolate eggs and it's my basket.,,yes,
I saw a six foot bunny at the mall yesterday. Either it's almost Easter or the doctor has screwed up my meds again.,,no,
"The only thing worse than the ""one that got away"" is the ""one that won't go away."";;;;""583973651692806144",,no,
"Men look at a woman's behind and think ""Wow! What an ass."" Women look at a man's face and think the very same thing.",,yes,
Stop looking for trouble. I'm right here.,,yes,
The best way to get a man to do something is to suggest he's too old for it.,,no,
Life is short. Smile while you still have teeth.,,no,
I'm on the 12 step chocoholic program. I'm never more than 12 steps from chocolate.,,no,
"Once in a while, someone amazing comes along... and here I am.",,no,
You don't have to be crazy to work here. We'll train you.,,yes,
"I'm not fat. I'm just so sexy, it overflows.",,yes,
