Original Tweet,Text of tweet,Hashtags,Users tagged,length,Class
Don't we already have something similar called @lyft? #sarcasm #google #rideshare https://t.co/E5e9GKtENV via @TravelLeisure,Don t we already have something similar called via,sarcasm rideshare google,TravelLeisure lyft?,124,S
i ended up crying again while eating... i've never felt better before. #sarcasm,i ended up crying again while eating i ve never felt better before,sarcasm,,79,S
@caityweaver #sarcasm? Comparing Kim to anything valuable...,Comparing Kim to anything valuable,sarcasm?,caityweaver,60,S
And finally tomorrow we start the school yeii :) #Sarcasm https://t.co/T6MhCkYEfL,And finally tomorrow we start the school yeii,Sarcasm,,81,S
hey look a touchdown! WE COMING BACK TONIGHT BOYS #sarcasm,hey look a touchdown WE COMING BACK TONIGHT BOYS,sarcasm,,58,S
Honestly getting used feels great #sarcasm,Honestly getting used feels great,sarcasm,,42,S
Today's mood: Bitchy with a chance of #sarcasm. #wiz,Today s mood Bitchy with a chance of,sarcasm. wiz,,52,S
"Today's total calorie intake: 1010. 
  Required calories to live: 1600. 
  My wellness apt on Thursday will go SO well! #sarcasm",Today s total calorie intake 1010 Required calories to live 1600 My wellness apt on Thursday will go SO well,sarcasm,,126,S
"Dear @ABCNetwork, I love watching a show &amp; only hearing the music...no dialogue. #sarcasm",Dear I love watching a show amp only hearing the music no dialogue,sarcasm,"ABCNetwork,",93,S
"I thnk u would hv said the smethng nd protcted the paki artists if ur homes were attactd, if ur loved 1c wr harmed!!#sarcasm #democracy",I thnk u would hv said the smethng nd protcted the paki artists if ur homes were attactd if ur loved 1c wr harmed,democracy,,135,S
"What amazing commentary from Pope and Josh 
  ""Now he has to pick him up and get him in the ring""
  ""Yup""
  #BoundForGlory #sarcasm #Why?",What amazing commentary from Pope and Josh Now he has to pick him up and get him in the ring Yup,sarcasm BoundForGlory Why?,,134,S
It's so nice that the assholes who were servicing my student loans decided to sell them to even bigger assholes last month #sarcasm,It s so nice that the assholes who were servicing my student loans decided to sell them to even bigger assholes last month,sarcasm,,131,S
What a game on Sunday night! And the @Chiefs punt again. @NFL @nbc #Sarcasm,What a game on Sunday night And the punt again,Sarcasm,Chiefs nbc NFL,75,S
And that wasn't at all creepy. #sarcasm @QuanticoTV #Quantico,And that wasn t at all creepy,Quantico sarcasm,QuanticoTV,61,S
